1715353443.874458 server started (3146062): version 2.6, socket /tmp/tmux-1000/default, protocol 8
1715353443.874506 on Linux 5.4.0-155-generic #172-Ubuntu SMP Fri Jul 7 16:10:02 UTC 2023; libevent 2.1.8-stable (poll)
1715353443.875301 add peer 0x564c020cf680: 8 (0x564c020cee30)
1715353443.875313 new client 0x564c020cee30
1715353443.875356 loading /etc/tmux.conf
1715353443.875426 loading /home/irteam/.tmux.conf
1715353443.875447 server loop enter
1715353443.875593 peer 0x564c020cf680 message 100
1715353443.875597 client 0x564c020cee30 IDENTIFY_FLAGS 0x10000
1715353443.875602 peer 0x564c020cf680 message 101
1715353443.875605 client 0x564c020cee30 IDENTIFY_TERM xterm-256color
1715353443.875608 peer 0x564c020cf680 message 102
1715353443.875611 client 0x564c020cee30 IDENTIFY_TTYNAME /dev/pts/25
1715353443.875614 peer 0x564c020cf680 message 108
1715353443.875623 client 0x564c020cee30 IDENTIFY_CWD /home/irteam/rkdtjdals97-dcloud-dir/MBC
1715353443.875626 peer 0x564c020cf680 message 104
1715353443.875628 client 0x564c020cee30 IDENTIFY_STDIN 6
1715353443.875632 cmdq_next <global>: enter
1715353443.875636 cmdq_next <global>: command[bind-key] (0), flags 0
1715353465.235342 format '#{?pane_in_mode,[tmux],#{pane_current_command}}#{?pane_dead,[dead],}' -> 'bash'
1715353465.235365 @0 name not changed (still bash)
1715353465.418129 /dev/pts/25: read 1 bytes (already 0)
1715353465.418165 /dev/pts/25: keys are 1 (x)
1715353465.418170 /dev/pts/25: next key is 1 (x) (expired=0)
1715353465.418175 /dev/pts/25: complete key x 0x78
1715353465.418181 session 0 activity 1715353465.418178 (last 1715353465.126038)
1715353465.418186 cmd_find_from_session: s=$0
1715353465.418191 cmd_find_from_session: wl=0 1 w=@0 bash
1715353465.418195 cmd_find_from_session: wp=%0
1715353465.418198 cmd_find_from_session: idx=none
1715353465.418203 session 0 not pasting
1715353465.418207 key table root (pane %0)
1715353465.418212 not found in key table root
1715353465.418217 writing key 0x78 (x) to %0
1715353465.418225 cmdq_next <global>: empty
1715353465.418232 cmdq_next <0x564c020cee30>: empty
1715353465.418976 @0 active pane not changed
1715353465.419014 cmdq_next <global>: empty
1715353465.419018 cmdq_next <0x564c020cee30>: empty
1715353465.419021 @0 active pane not changed
1715353465.419080 %0 has 1 bytes
1715353465.419085 @0 alerts timer reset 0
1715353465.419090 screen_write_start: size 251x21, pane %0
1715353465.419094 input_parse: %0 ground, 1 bytes: x
1715353465.419098 screen_write_collect_end: 1 x (at 60,13)
1715353465.419103 /dev/pts/25: x
1715353465.419107 screen_write_collect_flush: flushed 1 items (1 bytes)
1715353465.419111 screen_write_stop: 1 cells (1 written, 0 skipped)
1715353465.419114 cmdq_next <global>: empty
1715353465.419117 cmdq_next <0x564c020cee30>: empty
1715353465.419121 @0 active pane changed
1715353465.419124 @0 name timer queued (315219 left)
1715353465.419133 /dev/pts/25: wrote 1 bytes (of 1)
1715353465.419136 cmdq_next <global>: empty
1715353465.419139 cmdq_next <0x564c020cee30>: empty
1715353465.419142 @0 active pane changed
1715353465.419145 @0 name timer already queued (315198 left)
1715353465.735523 @0 name timer expired
1715353465.735557 cmdq_next <global>: empty
1715353465.735563 cmdq_next <0x564c020cee30>: empty
1715353465.735572 @0 active pane changed
1715353465.735646 format '#{pane_current_command}' -> 'bash'
1715353465.735654 format '' -> ''
1715353465.735658 format '#{?pane_in_mode,[tmux],#{pane_current_command}}#{?pane_dead,[dead],}' -> 'bash'
1715353465.735672 @0 name not changed (still bash)
1715353466.035943 /dev/pts/25: read 1 bytes (already 0)
1715353466.035979 /dev/pts/25: keys are 1 ( )
1715353466.035988 /dev/pts/25: next key is 1 ( ) (expired=0)
1715353466.035994 /dev/pts/25: complete key   0x20
1715353466.036001 session 0 activity 1715353466.035998 (last 1715353465.418178)
1715353466.036008 cmd_find_from_session: s=$0
1715353466.036014 cmd_find_from_session: wl=0 1 w=@0 bash
1715353466.036018 cmd_find_from_session: wp=%0
1715353466.036022 cmd_find_from_session: idx=none
1715353466.036026 session 0 not pasting
1715353466.036032 key table root (pane %0)
1715353466.036037 not found in key table root
1715353466.036043 writing key 0x20 (Space) to %0
1715353466.036052 cmdq_next <global>: empty
1715353466.036057 cmdq_next <0x564c020cee30>: empty
1715353466.036066 @0 active pane not changed
1715353466.036092 cmdq_next <global>: empty
1715353466.036822 cmdq_next <0x564c020cee30>: empty
1715353466.037780 @0 active pane not changed
1715353466.037794 %0 has 1 bytes
1715353466.037799 @0 alerts timer reset 0
1715353466.037804 screen_write_start: size 251x21, pane %0
1715353466.037809 input_parse: %0 ground, 1 bytes:  
1715353466.037815 screen_write_collect_end: 1   (at 61,13)
1715353466.037821 /dev/pts/25:  
1715353466.037825 screen_write_collect_flush: flushed 1 items (1 bytes)
1715353466.037829 screen_write_stop: 1 cells (1 written, 0 skipped)
1715353466.037833 cmdq_next <global>: empty
1715353466.037836 cmdq_next <0x564c020cee30>: empty
1715353466.037840 @0 active pane changed
1715353466.037843 @0 name timer queued (197732 left)
1715353466.037853 /dev/pts/25: wrote 1 bytes (of 1)
1715353466.037861 cmdq_next <global>: empty
1715353466.037864 cmdq_next <0x564c020cee30>: empty
1715353466.037867 @0 active pane changed
1715353466.037870 @0 name timer already queued (197705 left)
1715353466.116423 /dev/pts/25: read 1 bytes (already 0)
1715353466.116449 /dev/pts/25: keys are 1 (-)
1715353466.116456 /dev/pts/25: next key is 1 (-) (expired=0)
1715353466.116461 /dev/pts/25: complete key - 0x2d
1715353466.116469 session 0 activity 1715353466.116465 (last 1715353466.035998)
1715353466.116475 cmd_find_from_session: s=$0
1715353466.116480 cmd_find_from_session: wl=0 1 w=@0 bash
1715353466.116484 cmd_find_from_session: wp=%0
1715353466.116489 cmd_find_from_session: idx=none
1715353466.116493 session 0 not pasting
1715353466.116498 key table root (pane %0)
1715353466.116503 not found in key table root
1715353466.116509 writing key 0x2d (-) to %0
1715353466.117309 cmdq_next <global>: empty
1715353466.117316 cmdq_next <0x564c020cee30>: empty
1715353466.117324 @0 active pane changed
1715353466.117328 @0 name timer already queued (118248 left)
1715353466.117341 cmdq_next <global>: empty
1715353466.117346 cmdq_next <0x564c020cee30>: empty
1715353466.117350 @0 active pane changed
1715353466.117353 @0 name timer already queued (118222 left)
1715353466.117440 %0 has 1 bytes
1715353466.117444 @0 alerts timer reset 0
1715353466.117449 screen_write_start: size 251x21, pane %0
1715353466.117453 input_parse: %0 ground, 1 bytes: -
1715353466.117456 screen_write_collect_end: 1 - (at 62,13)
1715353466.117462 /dev/pts/25: -
1715353466.117466 screen_write_collect_flush: flushed 1 items (1 bytes)
1715353466.117469 screen_write_stop: 1 cells (1 written, 0 skipped)
1715353466.117472 cmdq_next <global>: empty
1715353466.117475 cmdq_next <0x564c020cee30>: empty
1715353466.117478 @0 active pane changed
1715353466.117481 @0 name timer already queued (118094 left)
1715353466.117489 /dev/pts/25: wrote 1 bytes (of 1)
1715353466.117493 cmdq_next <global>: empty
1715353466.117496 cmdq_next <0x564c020cee30>: empty
1715353466.117498 @0 active pane changed
1715353466.117501 @0 name timer already queued (118074 left)
1715353466.237821 @0 name timer expired
1715353466.237867 cmdq_next <global>: empty
1715353466.237882 cmdq_next <0x564c020cee30>: empty
1715353466.237898 @0 active pane changed
1715353466.238053 format '#{pane_current_command}' -> 'bash'
1715353466.238955 format '' -> ''
1715353466.238961 format '#{?pane_in_mode,[tmux],#{pane_current_command}}#{?pane_dead,[dead],}' -> 'bash'
1715353466.238977 @0 name not changed (still bash)
1715353466.618815 /dev/pts/25: read 1 bytes (already 0)
1715353466.618847 /dev/pts/25: keys are 1 (V)
1715353466.618855 /dev/pts/25: next key is 1 (V) (expired=0)
1715353466.618860 /dev/pts/25: complete key V 0x56
1715353466.618868 session 0 activity 1715353466.618864 (last 1715353466.116465)
1715353466.618874 cmd_find_from_session: s=$0
1715353466.618880 cmd_find_from_session: wl=0 1 w=@0 bash
1715353466.618884 cmd_find_from_session: wp=%0
1715353466.618888 cmd_find_from_session: idx=none
1715353466.618893 session 0 not pasting
1715353466.618898 key table root (pane %0)
1715353466.618902 not found in key table root
1715353466.618908 writing key 0x56 (V) to %0
1715353466.618916 cmdq_next <global>: empty
1715353466.619642 cmdq_next <0x564c020cee30>: empty
1715353466.619658 @0 active pane not changed
1715353466.619696 cmdq_next <global>: empty
1715353466.619699 cmdq_next <0x564c020cee30>: empty
1715353466.619703 @0 active pane not changed
1715353466.619803 %0 has 1 bytes
1715353466.619807 @0 alerts timer reset 0
1715353466.619812 screen_write_start: size 251x21, pane %0
1715353466.619816 input_parse: %0 ground, 1 bytes: V
1715353466.619821 screen_write_collect_end: 1 V (at 63,13)
1715353466.619826 /dev/pts/25: V
1715353466.619831 screen_write_collect_flush: flushed 1 items (1 bytes)
1715353466.619834 screen_write_stop: 1 cells (1 written, 0 skipped)
1715353466.619837 cmdq_next <global>: empty
1715353466.619840 cmdq_next <0x564c020cee30>: empty
1715353466.619844 @0 active pane changed
1715353466.619852 @0 name timer queued (118053 left)
1715353466.619861 /dev/pts/25: wrote 1 bytes (of 1)
1715353466.619864 cmdq_next <global>: empty
1715353466.619868 cmdq_next <0x564c020cee30>: empty
1715353466.619872 @0 active pane changed
1715353466.619876 @0 name timer already queued (118029 left)
1715353466.739080 @0 name timer expired
1715353466.739132 cmdq_next <global>: empty
1715353466.739147 cmdq_next <0x564c020cee30>: empty
1715353466.739164 @0 active pane changed
1715353466.739280 format '#{pane_current_command}' -> 'bash'
1715353466.740022 format '' -> ''
1715353466.740038 format '#{?pane_in_mode,[tmux],#{pane_current_command}}#{?pane_dead,[dead],}' -> 'bash'
1715353466.740065 @0 name not changed (still bash)
1715353467.004419 /dev/pts/25: read 1 bytes (already 0)
1715353467.004457 /dev/pts/25: keys are 1 (\r)
1715353467.004465 /dev/pts/25: next key is 1 (\r) (expired=0)
1715353467.004471 /dev/pts/25: complete key \r 0xd
1715353467.004479 session 0 activity 1715353467.004475 (last 1715353466.618864)
1715353467.004486 cmd_find_from_session: s=$0
1715353467.004491 cmd_find_from_session: wl=0 1 w=@0 bash
1715353467.004495 cmd_find_from_session: wp=%0
1715353467.004500 cmd_find_from_session: idx=none
1715353467.004504 session 0 not pasting
1715353467.004510 key table root (pane %0)
1715353467.004515 not found in key table root
1715353467.004520 writing key 0xd (Enter) to %0
1715353467.004529 cmdq_next <global>: empty
1715353467.005175 cmdq_next <0x564c020cee30>: empty
1715353467.005184 @0 active pane not changed
1715353467.005201 cmdq_next <global>: empty
1715353467.005205 cmdq_next <0x564c020cee30>: empty
1715353467.005208 @0 active pane not changed
1715353467.005275 %0 has 2 bytes
1715353467.005281 @0 alerts timer reset 0
1715353467.005286 screen_write_start: size 251x21, pane %0
1715353467.005290 input_parse: %0 ground, 2 bytes: \r\n
1715353467.005293 input_c0_dispatch: '\r'
1715353467.005296 input_c0_dispatch: '\n'
1715353467.005300 screen_write_linefeed: at 0,13 (region 0-20)
1715353467.005304 screen_write_collect_flush: flushed 0 items (0 bytes)
1715353467.005307 screen_write_stop: 0 cells (0 written, 0 skipped)
1715353467.005311 cmdq_next <global>: empty
1715353467.005314 cmdq_next <0x564c020cee30>: empty
1715353467.005317 /dev/pts/25: \r
1715353467.005320 /dev/pts/25: \n
1715353467.005323 @0 active pane changed
1715353467.005327 @0 name timer queued (233847 left)
1715353467.005336 /dev/pts/25: wrote 2 bytes (of 2)
1715353467.005339 cmdq_next <global>: empty
1715353467.005342 cmdq_next <0x564c020cee30>: empty
1715353467.005346 @0 active pane changed
1715353467.005348 @0 name timer already queued (233825 left)
1715353467.006894 %0 has 10 bytes
1715353467.006903 @0 alerts timer reset 0
1715353467.006907 screen_write_start: size 251x21, pane %0
1715353467.006911 input_parse: %0 ground, 10 bytes: tmux 2.6\r\n
1715353467.006915 screen_write_collect_end: 8 tmux 2.6 (at 0,14)
1715353467.006920 input_c0_dispatch: '\r'
1715353467.006923 input_c0_dispatch: '\n'
1715353467.006926 screen_write_linefeed: at 0,14 (region 0-20)
1715353467.006930 /dev/pts/25: tmux 2.6
1715353467.006933 screen_write_collect_flush: flushed 1 items (8 bytes)
1715353467.006937 screen_write_stop: 8 cells (8 written, 0 skipped)
1715353467.006940 cmdq_next <global>: empty
1715353467.006943 cmdq_next <0x564c020cee30>: empty
1715353467.006947 /dev/pts/25: \r
1715353467.006949 /dev/pts/25: \n
1715353467.006953 @0 active pane changed
1715353467.006956 @0 name timer already queued (232217 left)
1715353467.006964 /dev/pts/25: wrote 10 bytes (of 10)
1715353467.006967 cmdq_next <global>: empty
1715353467.006970 cmdq_next <0x564c020cee30>: empty
1715353467.006973 @0 active pane changed
1715353467.006976 @0 name timer already queued (232197 left)
1715353467.007549 %0 has 137 bytes
1715353467.008130 @0 alerts timer reset 0
1715353467.008137 screen_write_start: size 251x21, pane %0
1715353467.008144 input_parse: %0 ground, 137 bytes: (base) \033]0;irteam@4f8a8e02f8db: ~/rkdtjdals97-dcloud-dir/MBC\a\033[01;32mirteam@4f8a8e02f8db\033[00m:\033[01;34m~/rkdtjdals97-dcloud-dir/MBC\033[00m$ 
1715353467.008154 screen_write_collect_end: 7 (base)  (at 0,15)
1715353467.008159 input_enter_osc
1715353467.008209 input_exit_osc: "0;irteam@4f8a8e02f8db: ~/rkdtjdals97-dcloud-dir/MBC"
1715353467.008218 input_csi_dispatch: 'm' "" "01;32"
1715353467.008227 screen_write_collect_end: 19 irteam@4f8a8e02f8db (at 7,15)
1715353467.008231 input_csi_dispatch: 'm' "" "00"
1715353467.008234 screen_write_collect_end: 1 : (at 26,15)
1715353467.008237 input_csi_dispatch: 'm' "" "01;34"
1715353467.008242 screen_write_collect_end: 28 ~/rkdtjdals97-dcloud-dir/MBC (at 27,15)
1715353467.008245 input_csi_dispatch: 'm' "" "00"
1715353467.008252 screen_write_collect_end: 2 $  (at 55,15)
1715353467.008256 /dev/pts/25: (base) 
1715353467.008264 /dev/pts/25: \033[32m
1715353467.008267 /dev/pts/25: \033[1m
1715353467.008270 /dev/pts/25: irteam@4f8a8e02f8db
1715353467.008273 /dev/pts/25: \033(B\033[m
1715353467.008275 /dev/pts/25: :
1715353467.008279 /dev/pts/25: \033[34m
1715353467.008281 /dev/pts/25: \033[1m
1715353467.008284 /dev/pts/25: ~/rkdtjdals97-dcloud-dir/MBC
1715353467.008287 /dev/pts/25: \033(B\033[m
1715353467.008290 /dev/pts/25: $ 
1715353467.008293 screen_write_collect_flush: flushed 5 items (57 bytes)
1715353467.008297 screen_write_stop: 57 cells (57 written, 0 skipped)
1715353467.008302 cmdq_next <global>: empty
1715353467.008307 cmdq_next <0x564c020cee30>: empty
1715353467.008314 screen_write_start: size 251x1, no pane
1715353467.008349 screen_write_collect_flush: flushed 0 items (0 bytes)
1715353467.008354 screen_write_stop: 251 cells (251 written, 0 skipped)
1715353467.008460 format '[#S] ' -> '[0] '
1715353467.008475 unref client 0x564c020cee30 (2 references)
1715353467.008545 format ' "#{=21:pane_title}" 15:04 10-May-24' -> ' "irteam@4f8a8e02f8db: " 15:04 10-May-24'
1715353467.008558 unref client 0x564c020cee30 (2 references)
1715353467.008619 format '#{window_flags}' -> '*'
1715353467.008626 format '#I:#W#{?window_flags,#{window_flags}, }' -> '0:bash*'
1715353467.008638 unref client 0x564c020cee30 (2 references)
1715353467.008644 screen_write_start: size 8x1, no pane
1715353467.008652 screen_write_collect_flush: flushed 0 items (0 bytes)
1715353467.008658 screen_write_stop: 8 cells (8 written, 0 skipped)
1715353467.008663 screen_write_start: size 251x1, no pane
1715353467.008674 screen_write_collect_flush: flushed 0 items (0 bytes)
1715353467.008679 screen_write_stop: 52 cells (46 written, 6 skipped)
1715353467.008695 @0 active pane changed
1715353467.009388 @0 name timer already queued (229787 left)
1715353467.009402 /dev/pts/25: wrote 87 bytes (of 87)
1715353467.009407 cmdq_next <global>: empty
1715353467.009411 cmdq_next <0x564c020cee30>: empty
1715353467.009414 @0 active pane changed
1715353467.009417 @0 name timer already queued (229756 left)
1715353467.241845 @0 name timer expired
1715353467.241892 cmdq_next <global>: empty
1715353467.241906 cmdq_next <0x564c020cee30>: empty
1715353467.241924 @0 active pane changed
1715353467.242075 format '#{pane_current_command}' -> 'bash'
1715353467.242960 format '' -> ''
1715353467.242981 format '#{?pane_in_mode,[tmux],#{pane_current_command}}#{?pane_dead,[dead],}' -> 'bash'
1715353467.242994 @0 name not changed (still bash)
1715353473.906748 client 0x564c020cee30, status interval 15
1715353473.907442 cmdq_next <global>: empty
1715353473.907451 cmdq_next <0x564c020cee30>: empty
1715353473.907462 screen_write_start: size 251x1, no pane
1715353473.907490 screen_write_collect_flush: flushed 0 items (0 bytes)
1715353473.907496 screen_write_stop: 251 cells (251 written, 0 skipped)
1715353473.907603 format '[#S] ' -> '[0] '
1715353473.908438 unref client 0x564c020cee30 (2 references)
1715353473.908558 format ' "#{=21:pane_title}" 15:04 10-May-24' -> ' "irteam@4f8a8e02f8db: " 15:04 10-May-24'
1715353473.908581 unref client 0x564c020cee30 (2 references)
1715353473.908712 format '#{window_flags}' -> '*'
1715353473.908724 format '#I:#W#{?window_flags,#{window_flags}, }' -> '0:bash*'
1715353473.908757 unref client 0x564c020cee30 (2 references)
1715353473.908772 screen_write_start: size 8x1, no pane
1715353473.908800 screen_write_collect_flush: flushed 0 items (0 bytes)
1715353473.908822 screen_write_stop: 8 cells (8 written, 0 skipped)
1715353473.908826 screen_write_start: size 251x1, no pane
1715353473.908839 screen_write_collect_flush: flushed 0 items (0 bytes)
1715353473.908843 screen_write_stop: 52 cells (46 written, 6 skipped)
1715353473.908857 @0 active pane not changed
1715353475.470308 /dev/pts/25: read 1 bytes (already 0)
1715353475.470341 /dev/pts/25: keys are 1 (\004)
1715353475.470348 /dev/pts/25: next key is 1 (\004) (expired=0)
1715353475.470354 /dev/pts/25: complete key \004 0x4
1715353475.470362 session 0 activity 1715353475.470358 (last 1715353467.004475)
1715353475.470370 cmd_find_from_session: s=$0
1715353475.470375 cmd_find_from_session: wl=0 1 w=@0 bash
1715353475.470379 cmd_find_from_session: wp=%0
1715353475.470383 cmd_find_from_session: idx=none
1715353475.470388 session 0 not pasting
1715353475.470394 key table root (pane %0)
1715353475.470398 not found in key table root
1715353475.470405 writing key 0x4 (C-d) to %0
1715353475.470414 cmdq_next <global>: empty
1715353475.471180 cmdq_next <0x564c020cee30>: empty
1715353475.471191 @0 active pane not changed
1715353475.471208 cmdq_next <global>: empty
1715353475.471212 cmdq_next <0x564c020cee30>: empty
1715353475.471215 @0 active pane not changed
1715353475.471311 %0 has 8 bytes
1715353475.471316 @0 alerts timer reset 0
1715353475.471322 screen_write_start: size 251x21, pane %0
1715353475.471326 input_parse: %0 ground, 8 bytes: logout\r\n
1715353475.471331 screen_write_collect_end: 6 logout (at 57,15)
1715353475.471336 input_c0_dispatch: '\r'
1715353475.471339 input_c0_dispatch: '\n'
1715353475.471342 screen_write_linefeed: at 0,15 (region 0-20)
1715353475.471346 /dev/pts/25: logout
1715353475.471352 screen_write_collect_flush: flushed 1 items (6 bytes)
1715353475.471357 screen_write_stop: 6 cells (6 written, 0 skipped)
1715353475.471361 cmdq_next <global>: empty
1715353475.471366 cmdq_next <0x564c020cee30>: empty
1715353475.471370 /dev/pts/25: \r
1715353475.471375 /dev/pts/25: \n
1715353475.471379 @0 active pane changed
1715353475.471462 format '#{pane_current_command}' -> 'bash'
1715353475.471469 format '' -> ''
1715353475.471475 format '#{?pane_in_mode,[tmux],#{pane_current_command}}#{?pane_dead,[dead],}' -> 'bash'
1715353475.471490 @0 name not changed (still bash)
1715353475.471504 /dev/pts/25: wrote 8 bytes (of 8)
1715353475.471509 cmdq_next <global>: empty
1715353475.471513 cmdq_next <0x564c020cee30>: empty
1715353475.471518 @0 active pane not changed
1715353475.474304 %0 error
1715353475.475625 cmd_find_from_window: s=$0
1715353475.475642 cmd_find_from_window: wl=0 1 w=@0 bash
1715353475.475647 cmd_find_from_window: wp=%0
1715353475.475651 cmd_find_from_window: idx=0
1715353475.475662 cmd_find_from_pane: s=$0
1715353475.475667 cmd_find_from_pane: wl=0 1 w=@0 bash
1715353475.475671 cmd_find_from_pane: wp=%0
1715353475.475676 cmd_find_from_pane: idx=0
1715353475.475683 session_add_ref: 0 notify_add, now 2
1715353475.475694 cmd_find_from_window: s=$0
1715353475.476485 cmd_find_from_window: wl=0 1 w=@0 bash
1715353475.476496 cmd_find_from_window: wp=%0
1715353475.476505 cmd_find_from_window: idx=0
1715353475.476514 window_add_ref: @0 notify_add, now 2
1715353475.476526 session_add_ref: 0 notify_add, now 3
1715353475.476538 window_lost_pane: @0 pane %0
1715353475.476577 cmd_find_from_session_window: s=$0
1715353475.476584 cmd_find_from_session_window: wl=0 1 w=@0 bash
1715353475.476592 cmd_find_from_session_window: wp=none
1715353475.476598 cmd_find_from_session_window: idx=0
1715353475.476604 session_add_ref: 0 notify_add, now 4
1715353475.476610 window_add_ref: @0 notify_add, now 3
1715353475.476616 session_add_ref: 0 notify_add, now 5
1715353475.476623 window_remove_ref: @0 winlink_remove, now 2
1715353475.476633 session 0 destroyed (session_detach)
1715353475.476641 session_add_ref: 0 notify_add, now 6
1715353475.476648 session_remove_ref: 0 session_destroy, now 5
1715353475.476664 cmdq_next <global>: enter
1715353475.476683 cmdq_next <global>: callback[notify_callback] (1), flags 0
1715353475.476689 notify_callback: pane-exited
1715353475.476699 session_remove_ref: 0 notify_callback, now 4
1715353475.476709 cmdq_next <global>: callback[notify_callback] (1), flags 0
1715353475.476715 notify_callback: window-layout-changed
1715353475.476724 window_remove_ref: @0 notify_callback, now 1
1715353475.476734 session_remove_ref: 0 notify_callback, now 3
1715353475.476745 cmdq_next <global>: callback[notify_callback] (1), flags 0
1715353475.476754 notify_callback: window-unlinked
1715353475.476765 session_remove_ref: 0 notify_callback, now 2
1715353475.476775 window_remove_ref: @0 notify_callback, now 0
1715353475.476784 window @0 destroyed (0 references)
1715353475.476795 session_remove_ref: 0 notify_callback, now 1
1715353475.476806 cmdq_next <global>: callback[notify_callback] (1), flags 0
1715353475.476817 notify_callback: session-closed
1715353475.476828 session_remove_ref: 0 notify_callback, now 0
1715353475.476843 cmdq_next <global>: exit (empty)
1715353475.476854 cmdq_next <0x564c020cee30>: empty
1715353475.476863 cmdq_next <global>: empty
1715353475.476873 cmdq_next <0x564c020cee30>: empty
1715353475.476885 sending message 203 to peer 0x564c020cf680 (4 bytes)
1715353475.476909 session 0 freed (0 references)
1715353475.476977 server_signal: Child exited
1715353475.477039 cmdq_next <global>: empty
1715353475.477043 cmdq_next <0x564c020cee30>: empty
1715353475.477170 peer 0x564c020cf680 message 205
1715353475.478012 sending message 204 to peer 0x564c020cf680 (0 bytes)
1715353475.478023 cmdq_next <global>: empty
1715353475.478030 cmdq_next <0x564c020cee30>: empty
1715353475.478050 cmdq_next <global>: empty
1715353475.478057 cmdq_next <0x564c020cee30>: empty
1715353475.479029 lost client 0x564c020cee30
1715353475.479058 remove peer 0x564c020cf680
1715353475.479086 unref client 0x564c020cee30 (1 references)
1715353475.479130 free client 0x564c020cee30 (0 references)
1715353475.479141 cmdq_next <global>: empty
1715353475.479163 server loop exit
